input,reference,graph haiku out,graph haiku bleurt,graph haiku comet,graph sonnet out,graph sonnet bleurt,graph sonnet comet,tree haiku out,tree haiku bleurt,tree haiku comet,tree sonnet out,tree sonnet bleurt,tree sonnet comet
बाल बहुत लंबे हैं,The hair is very long,The hair is extremely lengthy.,0.7239092588,0.9123976231,Her hair is extremely lengthy.,0.287017107,0.9224270582,The hair is very long.,1.106876969,0.9633927345,The hair is very long,1.085258961,0.983782053
कल नहीं आएगा,He will not come tomorrow,He will not come tomorrow.,1.053645015,0.9773092866,Will not be coming tomorrow,-0.2544500232,0.8909364939,He will not come tomorrow.,1.053645015,0.9773092866,Won't come tomorrow,-0.0681155026,0.9070114493
उसका हाथ साफ़ है,He's innocent,His hand is clean.,-1.278319836,0.7147472501,Her hands are clean,-1.478220344,0.6772915125,The man's palm is spotless.,-1.494989157,0.6525714397,His hand is clean,-1.157892108,0.678524673
वह ऊपर गिर गया,He fell from above,He fell down,0.224412784,0.8076703548,He fell down.,0.1048637033,0.7952730656,The man tumbled down from above.,0.6680929065,0.8763050437,He fell down from above,1.029940009,0.9651913643
दिल बैठ गया,He lost courage,My heart sank.,-0.7763742208,0.7204627991,My heart sank,-0.9004108906,0.6900247931,The heart has sunk,-0.8175852895,0.5857663155,My heart sank,-0.9004108906,0.6900247931
दाल में कुछ काला है,Something's fishy,There appear to be some dark specks in the lentils.,-1.136376619,0.4982095659,Something suspicious is going on here.,-0.3586905003,0.8109699488,There is something black in the dal,-1.317365646,0.5809057355,Something fishy is going on,0.5535238981,0.9181481004
उसने आकाश छू लिया,He achieved great success,He touched the sky,-1.539176345,0.6192086339,He touched the sky,-1.539176345,0.6192086339,He reached up and touched the sky.,-1.462674856,0.5756608248,He touched the sky,-1.539176345,0.6192086339
कल मैं बहुत पीछे था,Yesterday I was far behind,I was quite behind yesterday.,0.3345292509,0.8710830212,I was running quite late yesterday.,-0.4705350697,0.6269419789,"Yesterday, I was very behind.",0.3773757815,0.9382247329,Yesterday I was very far behind,1.054031491,0.9680261612
उसकी आँखें खुल गईं,He realized the truth,Her eyes opened,-1.607128143,0.6754732728,His eyes opened wide,-0.6242258549,0.6190572381,Her eyes opened wide.,-1.409509897,0.6273440719,Her eyes opened,-1.607128143,0.6754732728
हमारे हाथ पाँव फूल गए,Unable to move freely,Our hands and feet have bloomed,-1.739520788,0.488612324,Our hands and feet are swollen,-1.64893496,0.4921596348,Our hands and feet have bloomed,-1.739520788,0.488612324,Our hands and feet have become swollen,-1.545385361,0.4983771145
आँखों का तारा है,Very beloved person,The apple of one's eye,-1.551815271,0.4118374586,The star of the eyes,-1.658413172,0.4409812391,The star of the eyes,-1.658413172,0.4409812391,The apple of one's eye,-1.551815271,0.4118374586
वह बूंद-बूंंद गिन रहा है,He is calculating every little bit,N/A,-1.822886825,0.415913403,He is meticulously counting each and every drop.,-0.03639885783,0.7335377932,That drop-by-drop is counting,-1.270048857,0.6155005097,He is counting drop by drop,-0.5452808142,0.6985647678
वह हाथ पर हाथ धरकर बैठा है,He is sitting idle,He is sitting with his hands clasped together,-0.247650817,0.6953276396,He is sitting with his hands folded.,0.01348767057,0.6809518337,The man is seated with his palms clasped together.,-0.3205745518,0.618498683,He is sitting with his hands placed one upon the other,-0.6722946167,0.5857759118
वह चला गया,He left,He departed,0.8654900193,0.8857514858,He went away.,0.6524625421,0.8780706525,He has gone away.,0.5043634176,0.8320719004,He went away,0.7751253843,0.890583992
वह ऊपर गया,He died,He climbed up.,-1.44794023,0.5234233141,He went upstairs.,-1.264374256,0.5389566422,He went up,-1.034801364,0.575139761,He climbed up,-1.435688376,0.5031419992
वह भगवान के पास चला गया,He died,He went to God,-1.215130925,0.625423193,He went to God,-1.215130925,0.625423193,He went to the Lord,-1.249111176,0.6294390559,He went to God,-1.215130925,0.625423193
