hindi,reference,final translations,translation_1,bleurt_1,translation_2,bleurt_2,translation_3,bleurt_3,translation_4,bleurt_4
बाल बहुत लंबे हैं,The hair is very long,The hair is very long.,The hair is very long.,1.106876969,The lengthy tresses flow gracefully.,-1.198177695,The luxurious locks cascade down gracefully.,-1.361961007,The children's hair cascades down in a magnificent display.,-1.349473715
कल नहीं आएगा,He will not come tomorrow,He will not come tomorrow.,He will not come tomorrow.,1.053645015,"Tomorrow, he will be absent.",0.06278777122,He is not coming tomorrow.,0.8113911152,He won't be present tomorrow.,0.4992334843
उसका हाथ साफ़ है,He's innocent,The man's palm is spotless.,His hand is clean.,-1.278319836,The man's palm is spotless.,-1.494989157,The gentleman's palm is pristine.,-1.502572775,,
वह ऊपर गिर गया,He fell from above,The man tumbled down from above.,He fell down above.,0.582859993,The man tumbled down from above.,0.6680929065,,,,
दिल बैठ गया,He lost courage,The heart has sunk,The heart has sunk,-0.8175852895,The heart has drifted away,-1.118813157,The heart has departed,-1.08488524,The heart has become heavy,-1.233177543
दाल में कुछ काला है,Something's fishy,There is something black in the dal,There is something black in the dal,-1.317365646,A dark substance has appeared in the lentil dish,-1.006070137,There is some black in the dal,-1.44420898,A peculiar dark speck has materialized within the lentil dish,-1.194153547
उसने आकाश छू लिया,He achieved great success,He reached up and touched the sky.,He reached up and touched the sky.,-1.462674856,The man extended his hand and grasped the heavens.,-1.31927371,The man ascended and brushed the firmament.,-1.319354892,The man lifted his hand and caressed the celestial expanse.,-1.301887155
कल मैं बहुत पीछे था,Yesterday I was far behind,"Yesterday, I was very behind.","Yesterday, I was very behind.",0.3773757815,I was quite behind yesterday.,0.3345292509,I had fallen quite far behind yesterday.,0.3979286551,I had lagged considerably behind yesterday.,0.2445172369
उसकी आँखें खुल गईं,He realized the truth,Her eyes opened wide.,Her eyes opened wide.,-1.409509897,The woman's eyes fluttered open.,-1.310917139,"The woman's eyelids parted, revealing her eyes.",-1.220649838,The woman blinked her eyes open.,-1.302011609
हमारे हाथ पाँव फूल गए,Unable to move freely,Our hands and feet have bloomed,Our hands and feet have bloomed,-1.739520788,Our palms and soles have flowered,-1.797648311,Our fingers and toes have blossomed,-1.817859769,Our limbs have become like flowers,-1.720102072
आँखों का तारा है,Very beloved person,The star of the eyes,The star of the eyes,-1.658413172,The celestial orb within the eyes,-1.671593666,The luminous celestial spark within the eyes,-1.558928967,,
वह बूंद-बूंंद गिन रहा है,He is calculating every little bit,That drop-by-drop is counting,That drop-by-drop is counting,-1.270048857,The droplets are being counted one by one,-1.018935561,The droplets are being tallied one by one,-1.469014645,The droplets are being meticulously enumerated one by one,-1.110921979
वह हाथ पर हाथ धरकर बैठा है,He is sitting idle,The man is seated with his palms clasped together.,He is sitting with his hands folded.,0.01348767057,The man is seated with his palms clasped together.,-0.3205745518,The man is sitting with his palms pressed together.,-0.311580956,,
वह चला गया,He left,He has gone away.,He has gone away.,0.5043634176,The man departed.,0.5054033399,The individual has departed the premises.,-0.5174803734,The person has left the area.,-0.2989752591
वह ऊपर गया,He died,He went up,He went up,-1.034801364,The man ascended upwards,-1.322582364,The individual proceeded upwards,-1.339377403,,
वह भगवान के पास चला गया,He died,He went to the Lord,He went to the Lord's abode.,-1.310250044,The divine being departed for the celestial realm.,-1.607022405,He went to the Lord.,-1.34357357,,
मुझे ठंड लग रही है,The cold is stuck to me,I am feeling cold.,I am feeling cold.,0.3149641454,The chill is setting in on me.,0.277462095,"The temperature has dropped, leaving me chilled.",0.5008047819,The cold has crept up on me.,0.3881323338
वह भारी है,He is important,That bulky item appears quite weighty.,It is heavy.,-1.622831821,That bulky item appears quite weighty.,-1.552948833,The object appears to be quite heavy.,-1.385838151,The item in question seems to possess considerable weight.,-1.136256456
उसका दिल बड़ा है,He is generous,His heart is big.,His heart is big.,-1.028108597,The man's heart is quite large.,-1.045534611,The individual's heart is sizeable.,-1.133465409,,
वह साफ है,He is clear,The surface is spotless.,It is clean.,-1.24662447,The surface is spotless.,-1.595979095,The area appears pristine.,-1.078839064,,
वह हल्का है,He is mild or not serious,It is light.,It is light.,-1.230036616,The object is lightweight.,-1.191574335,The item feels quite lightweight.,-1.100237966,The article appears to be quite lightweight.,-1.120423436
वह सीधा है,He is simple or honest.,It is straight.,It is straight.,-0.9429039359,That is direct.,-0.5921583176,The text is straightforward.,-0.3513801098,The Hindi text conveys a sense of simplicity and directness.,-0.7067152262
वह भारी आवाज़ में बोला,He spoke in a deep or serious tone.,He spoke in a heavy voice.,He spoke in a heavy voice.,0.307864517,"The man bellowed in a deep, resonant tone.",-0.09892584383,"The man rumbled in a deep, guttural tone.",-0.3875258863,"The man thundered in a deep, resonant voice.",-0.4812227786
वह बड़ा है,He is older,That one is quite large.,He is big.,-0.8641949892,That one is quite large.,-1.395649552,The individual is of considerable size.,-1.100414157,The person is of significant stature.,-1.006084323
उसका चेहरा उतर गया,He was disappointed,His face fell,His face fell,-0.5635282397,The man's expression turned somber,-0.3118434548,The man's countenance grew somber,-0.1574024111,The man's visage darkened,-1.09245491
वह काम नहीं करता,He is unemployed,He does not do the work.,He does not do the work.,-0.577747643,He is not performing that task.,-0.8115162253,That work is not something he engages in.,-1.136928678,,
उसका मूड खराब है,He is upset,His mood is bad.,His mood is bad.,-0.3089770377,The individual's disposition is quite poor.,-0.6900525689,The person's emotional state is quite poor.,-0.2196203321,The man's temperament is quite poor.,-0.7264571786
वह जल गया,He is jealous,The water has vanished.,The water has gone.,-1.83736372,The water has vanished.,-1.804294586,The liquid has dissipated.,-1.778949022,The moisture has evaporated.,-1.807111025
वह खुला है,It is available,It is open.,It is open.,-0.07852508128,The door is open.,-0.780567944,The passage is accessible.,-0.0536387004,The way is clear.,-1.019743681
वह मेरे हाथों में टूट गया,He broke down in my hands,It broke in my hands,It broke in my hands,-0.4853268862,The object shattered in my grasp,-0.08161059022,The item crumbled within my palms,-0.3374218345,The fragile object disintegrated in my grip,-0.1272946447
उसका चेहरा चमक रहा है,He is happy,The man,His face is shining brightly.,-0.8366301656,The man's countenance is radiant.,-0.8855134845,The man's visage is gleaming with radiance.,-1.068223476,The gentleman's face is shimmering with luminance.,-1.274413347
वह हिल गया,He was emotionally taken,The hill moved.,The hill moved.,-1.62378335,The hill shifted.,-1.748215318,The hill terrain shifted.,-1.606308341,,
यह बात बड़ी है,This matter is serious,This matter is very important.,This matter is very important.,0.5335157514,This is a significant matter.,0.5529310107,This matter is of great significance.,0.2528643608,This Hindi text conveys a matter of great importance and significance.,-0.9327064753
उसकी तबीयत खराब है,He is sick,His health is poor.,His health is poor.,0.4905933142,He is unwell.,-0.0134389773,His condition is poor.,0.2864076495,His wellbeing is poor.,-0.112453863
वह चल रहा है,It is ongoing / in progress,He is walking.,He is walking.,-1.704471707,He is proceeding.,-1.008349895,He is on the move.,-1.020543337,He is making his way.,-1.170133114
वह खाली है,He is free,It is empty.,It is empty.,-1.060946465,It is vacant.,-1.279640436,The space is unoccupied.,-1.259851694,The location is vacant.,-1.23339057
उसका दिमाग ख़ाली है,He is stupid,His mind is empty.,His mind is empty.,-1.024838567,His mind is vacant.,-1.334554076,His mind is clear.,-1.265497208,His mind is unoccupied.,-1.10871613
