hindi,reference,final translations,translation_1,bleurt_1,translation_2,bleurt_2,translation_3,bleurt_3,translation_4,bleurt_4
बाल बहुत लंबे हैं,The hair is very long,The hair is very long,The hair is very long,1.085258961,Her hair has grown extremely long,0.07241211832,The locks have become exceedingly lengthy,-1.195465207,Those tresses extend remarkably far,-1.027122974
कल नहीं आएगा,He will not come tomorrow,Won't come tomorrow,Won't come tomorrow,-0.0681155026,Will not be coming tomorrow,-0.2544500232,"Tomorrow, he will not arrive",0.4215441942,He's not going to show up tomorrow,0.6270148754
उसका हाथ साफ़ है,He's innocent,His hand is clean,His hand is clean,-1.157892108,Her hand is pure,-1.538257718,That person's hand is spotless,-1.573602319,Their hands are free from dirt,-1.386983871
वह ऊपर गिर गया,He fell from above,He fell down from above,He fell down from above,1.029940009,He tumbled from up there,0.3452735841,He dropped down from the top,0.5092432499,He collapsed downward from overhead,0.6693742275
दिल बैठ गया,He lost courage,My heart sank,My heart sank,-0.9004108906,My heart felt heavy,-0.9741788507,The heart became disheartened,-1.011914968,I lost heart,-0.6704289317
दाल में कुछ काला है,Something's fishy,Something fishy is going on,Something fishy is going on,0.5535238981,There's something suspicious happening,-0.7754056454,There's something not quite right here,-0.9894151688,Something's off about this situation,-0.921925962
उसने आकाश छू लिया,He achieved great success,He touched the sky,He touched the sky,-1.539176345,He reached unprecedented heights,0.5277164578,He soared to extraordinary success,0.5724644661,He achieved remarkable heights of glory,0.5379609466
कल मैं बहुत पीछे था,Yesterday I was far behind,Yesterday I was very far behind,Yesterday I was very far behind,1.054031491,I was lagging quite a bit yesterday,-0.00328614749,I was trailing by a lot yesterday,-0.3767070174,"Yesterday, I had fallen way back",0.1005803943
उसकी आँखें खुल गईं,He realized the truth,Her eyes opened,Her eyes opened,-1.607128143,His eyes flew open,-0.895983696,Their eyes came open,-1.030352592,She opened her eyes,-1.527944565
हमारे हाथ पाँव फूल गए,Unable to move freely,Our hands and feet have become swollen,Our hands and feet have become swollen,-1.545385361,Our limbs have swelled up,-1.616237521,Our hands and feet are bloated,-1.555618763,My hands and feet have puffed up,-1.671456695
आँखों का तारा है,Very beloved person,The apple of one's eye,The apple of one's eye,-1.551815271,Is the pupil of the eyes,-1.727098703,She is the star of the eyes,-1.549460649,You are the light of my eyes,-1.539878726
वह बूंद-बूंंद गिन रहा है,He is calculating every little bit,He is counting drop by drop,He is counting drop by drop,-0.5452808142,He is counting each and every drop,-0.436719358,He is meticulously tallying every single droplet,-0.5977169275,He's carefully measuring out drop after drop,-0.4391004741
वह हाथ पर हाथ धरकर बैठा है,He is sitting idle,He is sitting with his hands placed one upon the other,He is sitting with his hands placed one upon the other,-0.6722946167,He sits there with one hand resting on the other,-0.2802201211,He is seated with hands folded over each other,-0.2361897528,,
वह चला गया,He left,He went away,He went away,0.7751253843,He left,1.163246036,He departed,0.8654900193,He took off,0.4109511077
वह ऊपर गया,He died,He climbed up,He went upstairs,-1.293705583,He went up,-1.034801364,He ascended,-1.249596,He moved upward,-1.432360768
वह भगवान के पास चला गया,He died,He went to God,He went to God,-1.215130925,He proceeded towards the Lord,-1.526186109,He walked over to the Divine One,-1.467263937,He made his way to the presence of the Almighty,-1.481418014
मुझे ठंड लग रही है,The cold is stuck to me,I am feeling cold,I am feeling cold,0.2314816117,I'm getting cold,0.09240823984,The cold is affecting me,0.4759124517,,
वह भारी है,He is important,It is heavy,It is heavy,-1.412300825,That one is weighty,-1.595638871,That is quite heavy,-1.229516625,That's a heavy one,-1.080288887
उसका दिल बड़ा है,He is generous,He has a big heart,He has a big heart,-0.170185253,She is very generous,-0.6236848235,That person is kind-hearted,-0.3380112946,Their heart is full of compassion,-0.6230826378
वह साफ है,He is clear,He is clean,He is clean,-0.2206169665,That is clean,-0.9108254313,It is clean,-1.00047195,She is clean,-1.55962038
वह हल्का है,He is mild or not serious,He is light,He is light,-0.8472488523,He is lightweight,-0.9271271825,That one is not heavy,-1.274968743,It weighs very little,-1.340335131
वह सीधा है,He is simple or honest.,He is straightforward,He is straightforward,0.3912921548,He is honest,0.2355249822,He is simple,-0.06343200803,He is uncomplicated,-0.7714409828
