hindi,reference,final translations,translation_1,comet_1,translation_2,comet_2,translation_3,comet_3,translation_4,comet_4
बाल बहुत लंबे हैं,The hair is very long,The hair is very long.,The hair is very long.,0.9633927345,The lengthy tresses flow gracefully.,0.6455258727,The luxurious locks cascade down gracefully.,0.6256563067,The children's hair cascades down in a magnificent display.,0.6165576577
कल नहीं आएगा,He will not come tomorrow,He will not come tomorrow.,He will not come tomorrow.,0.9773092866,"Tomorrow, he will be absent.",0.8316069245,He is not coming tomorrow.,0.9518323541,He won't be present tomorrow.,0.8994114399
उसका हाथ साफ़ है,He's innocent,The man's palm is spotless.,His hand is clean.,0.7147472501,The man's palm is spotless.,0.6525714397,The gentleman's palm is pristine.,0.6565198302,,
वह ऊपर गिर गया,He fell from above,The man tumbled down from above.,He fell down above.,0.9053137898,The man tumbled down from above.,0.8763050437,,,,
दिल बैठ गया,He lost courage,The heart has sunk,The heart has sunk,0.5857663155,The heart has drifted away,0.5707064867,The heart has departed,0.564486444,The heart has become heavy,0.6255422831
दाल में कुछ काला है,Something's fishy,There is something black in the dal,There is something black in the dal,0.5809057355,A dark substance has appeared in the lentil dish,0.4647087157,There is some black in the dal,0.5274077654,A peculiar dark speck has materialized within the lentil dish,0.4905614555
उसने आकाश छू लिया,He achieved great success,He reached up and touched the sky.,He reached up and touched the sky.,0.5756608248,The man extended his hand and grasped the heavens.,0.5128875375,The man ascended and brushed the firmament.,0.550609231,The man lifted his hand and caressed the celestial expanse.,0.519097805
कल मैं बहुत पीछे था,Yesterday I was far behind,"Yesterday, I was very behind.","Yesterday, I was very behind.",0.9382247329,I was quite behind yesterday.,0.8710830212,I had fallen quite far behind yesterday.,0.8776660562,I had lagged considerably behind yesterday.,0.8566012979
उसकी आँखें खुल गईं,He realized the truth,Her eyes opened wide.,Her eyes opened wide.,0.6273440719,The woman's eyes fluttered open.,0.5621471405,"The woman's eyelids parted, revealing her eyes.",0.442676723,The woman blinked her eyes open.,0.598197639
हमारे हाथ पाँव फूल गए,Unable to move freely,Our hands and feet have bloomed,Our hands and feet have bloomed,0.488612324,Our palms and soles have flowered,0.4073944688,Our fingers and toes have blossomed,0.4609556496,Our limbs have become like flowers,0.4614013135
आँखों का तारा है,Very beloved person,The star of the eyes,The star of the eyes,0.4409812391,The celestial orb within the eyes,0.4705045521,The luminous celestial spark within the eyes,0.4742221832,,
वह बूंद-बूंंद गिन रहा है,He is calculating every little bit,That drop-by-drop is counting,That drop-by-drop is counting,0.6155005097,The droplets are being counted one by one,0.6502914429,The droplets are being tallied one by one,0.6135320663,The droplets are being meticulously enumerated one by one,0.6611599922
वह हाथ पर हाथ धरकर बैठा है,He is sitting idle,The man is seated with his palms clasped together.,He is sitting with his hands folded.,0.6809518337,The man is seated with his palms clasped together.,0.618498683,The man is sitting with his palms pressed together.,0.6174325347,,
वह चला गया,He left,He has gone away.,He has gone away.,0.8320719004,The man departed.,0.8098710775,The individual has departed the premises.,0.6473935843,The person has left the area.,0.7319977283
वह ऊपर गया,He died,He went up,He went up,0.575139761,The man ascended upwards,0.489018172,The individual proceeded upwards,0.4760406613,,
वह भगवान के पास चला गया,He died,He went to the Lord,He went to the Lord's abode.,0.5311934948,The divine being departed for the celestial realm.,0.4263685644,He went to the Lord.,0.6307238936,,
