hindi,reference,final translations,translation_1,comet_1,translation_2,comet_2,translation_3,comet_3,translation_4,comet_4
बाल बहुत लंबे हैं,The hair is very long,The hair is very long,The hair is very long,0.983782053,Her hair has grown extremely long,0.8796488047,The locks have become exceedingly lengthy,0.5593199134,Those tresses extend remarkably far,0.5049352646
कल नहीं आएगा,He will not come tomorrow,Won't come tomorrow,Won't come tomorrow,0.9070114493,Will not be coming tomorrow,0.8909364939,"Tomorrow, he will not arrive",0.9454324245,He's not going to show up tomorrow,0.8842294216
उसका हाथ साफ़ है,He's innocent,His hand is clean,His hand is clean,0.678524673,Her hand is pure,0.6815525293,That person's hand is spotless,0.6170043945,Their hands are free from dirt,0.5827066302
वह ऊपर गिर गया,He fell from above,He fell down from above,He fell down from above,0.9651913643,He tumbled from up there,0.8610790968,He dropped down from the top,0.8561697602,He collapsed downward from overhead,0.7792301178
दिल बैठ गया,He lost courage,My heart sank,My heart sank,0.6900247931,My heart felt heavy,0.6142396331,The heart became disheartened,0.641946435,I lost heart,0.7963213921
दाल में कुछ काला है,Something's fishy,Something fishy is going on,Something fishy is going on,0.9181481004,There's something suspicious happening,0.8283823133,There's something not quite right here,0.8301609755,Something's off about this situation,0.8916047812
उसने आकाश छू लिया,He achieved great success,He touched the sky,He touched the sky,0.6192086339,He reached unprecedented heights,0.7857464552,He soared to extraordinary success,0.8801265359,He achieved remarkable heights of glory,0.766394794
कल मैं बहुत पीछे था,Yesterday I was far behind,Yesterday I was very far behind,Yesterday I was very far behind,0.9680261612,I was lagging quite a bit yesterday,0.7590815425,I was trailing by a lot yesterday,0.6682691574,"Yesterday, I had fallen way back",0.7238022685
उसकी आँखें खुल गईं,He realized the truth,Her eyes opened,Her eyes opened,0.6754732728,His eyes flew open,0.6225864887,Their eyes came open,0.7127984762,She opened her eyes,0.6971955895
हमारे हाथ पाँव फूल गए,Unable to move freely,Our hands and feet have become swollen,Our hands and feet have become swollen,0.4983771145,Our limbs have swelled up,0.5628967285,Our hands and feet are bloated,0.5191146135,My hands and feet have puffed up,0.4644844234
आँखों का तारा है,Very beloved person,The apple of one's eye,The apple of one's eye,0.4118374586,Is the pupil of the eyes,0.4313788414,She is the star of the eyes,0.465190053,You are the light of my eyes,0.5551941991
वह बूंद-बूंंद गिन रहा है,He is calculating every little bit,He is counting drop by drop,He is counting drop by drop,0.6985647678,He is counting each and every drop,0.7853751779,He is meticulously tallying every single droplet,0.7383788228,He's carefully measuring out drop after drop,0.6794199944
वह हाथ पर हाथ धरकर बैठा है,He is sitting idle,He is sitting with his hands placed one upon the other,He is sitting with his hands placed one upon the other,0.5857759118,He sits there with one hand resting on the other,0.6509215236,He is seated with hands folded over each other,0.5543634295,,
वह चला गया,He left,He went away,He went away,0.890583992,He left,0.988686502,He departed,0.8857514858,He took off,0.7955166698
वह ऊपर गया,He died,He climbed up,He went upstairs,0.5248228312,He went up,0.575139761,He ascended,0.6202697158,He moved upward,0.5088906288
वह भगवान के पास चला गया,He died,He went to God,He went to God,0.625423193,He proceeded towards the Lord,0.5768582821,He walked over to the Divine One,0.5004251003,He made his way to the presence of the Almighty,0.5007007122
मुझे ठंड लग रही है,The cold is stuck to me,I am feeling cold,I am feeling cold,0.7692590356,I'm getting cold,0.76463449,The cold is affecting me,0.8395752311,,
वह भारी है,He is important,It is heavy,It is heavy,0.7456422448,That one is weighty,0.7187269926,That is quite heavy,0.6412153244,That's a heavy one,0.6147292852
उसका दिल बड़ा है,He is generous,He has a big heart,He has a big heart,0.7184991241,She is very generous,0.9366096258,That person is kind-hearted,0.8071734905,Their heart is full of compassion,0.7075151205
वह साफ है,He is clear,He is clean,He is clean,0.846991241,That is clean,0.7923128605,It is clean,0.7749637365,She is clean,0.7479376197
वह हल्का है,He is mild or not serious,He is light,He is light,0.6746748686,He is lightweight,0.5618958473,That one is not heavy,0.5870797634,It weighs very little,0.5331127048
वह सीधा है,He is simple or honest.,He is straightforward,He is straightforward,0.9054166675,He is honest,0.9290527701,He is simple,0.917234242,He is uncomplicated,0.8247749805
वह भारी आवाज़ में बोला,He spoke in a deep or serious tone.,He spoke in a heavy voice,He spoke in a heavy voice,0.8633375764,He uttered words in a deep tone,0.8295183778,He spoke with a grave voice,0.8349927068,He said it in a weighty manner,0.802339375
वह बड़ा है,He is older,He is big,He is big,0.7196104527,He is large,0.7260268927,That one is great,0.5822592378,He is elder,0.9005150795
उसका चेहरा उतर गया,He was disappointed,His face fell,His face fell,0.6403443813,Her expression dropped,0.559148252,Their countenance became downcast,0.5722374916,His spirits sank,0.660941422
वह चला रहा है,He is driving,He is walking away,He is walking away,0.7241140008,He is going,0.7399132252,He keeps moving forward,0.7004123926,He continues on his way,0.64146626
वह काम नहीं करता,He is unemployed,He doesn't do the work,He doesn't do the work,0.6359170675,He does not work,0.6862382293,He refuses to perform that task,0.7029275894,He isn't doing that job,0.7023509741
उसका मूड खराब है,He is upset,He is in a bad mood,He is in a bad mood,0.7830277681,His mood is spoiled,0.667760253,She's feeling upset,0.8918517828,He's not in good spirits,0.665512383
वह जल गया,He is jealous,He got burned,He got burned,0.5083401799,He was burnt,0.5021705031,He burned up,0.5142626762,He caught fire,0.5398427844
वह खुला है,It is available,It is open,It is open,0.9078891873,That one is open,0.705892086,That is open,0.8193252087,He is open,0.7986831665
वह मेरे हाथों में टूट गया,He broke down in my hands,It broke in my hands,It broke in my hands,0.78455019,It shattered in my grasp,0.8057360053,It fell apart while I was holding it,0.7223618031,,
